phase,duration_s,method,seed,split
fit,105.55762958526611,lgo,1,0
fit,129.01501417160034,lgo,1,0
fit,97.29939270019531,lgo,1,0
fit,138.62636637687683,pysr,1,0
fit,12.019271612167358,operon,1,0
fit,98.14502429962158,lgo,2,0
fit,80.36679005622864,lgo,2,0
fit,96.01431059837341,lgo,2,0
fit,120.21658897399902,pysr,2,0
fit,9.762839555740356,operon,2,0
fit,91.8944354057312,lgo,3,0
fit,86.85646057128906,lgo,3,0
fit,92.65656805038452,lgo,3,0
fit,134.21712684631348,pysr,3,0
fit,12.116158723831177,operon,3,0
fit,103.15519499778748,lgo,5,0
fit,129.47570490837097,lgo,5,0
fit,92.37952780723572,lgo,5,0
fit,119.40713095664978,pysr,5,0
fit,12.640183925628662,operon,5,0
fit,91.94923090934753,lgo,8,0
fit,107.0184338092804,lgo,8,0
fit,96.05949640274048,lgo,8,0
fit,126.05734848976135,pysr,8,0
fit,11.729646444320679,operon,8,0
fit,88.71314740180969,lgo,13,0
fit,96.70543313026428,lgo,13,0
fit,81.22862815856934,lgo,13,0
fit,119.25566911697388,pysr,13,0
fit,14.111234426498413,operon,13,0
fit,93.48973178863525,lgo,21,0
fit,139.09118151664734,lgo,21,0
fit,86.43234992027283,lgo,21,0
fit,130.08891558647156,pysr,21,0
fit,11.564687967300415,operon,21,0
fit,111.0798032283783,lgo,34,0
fit,110.40476560592651,lgo,34,0
fit,92.17952489852905,lgo,34,0
fit,136.71769428253174,pysr,34,0
fit,8.153403282165527,operon,34,0
fit,109.12576150894165,lgo,55,0
fit,153.1469852924347,lgo,55,0
fit,109.00801610946655,lgo,55,0
fit,125.75687575340271,pysr,55,0
fit,14.3324134349823,operon,55,0
fit,81.8008496761322,lgo,89,0
fit,94.71627187728882,lgo,89,0
fit,95.1466133594513,lgo,89,0
fit,125.68165826797485,pysr,89,0
fit,10.58863115310669,operon,89,0
fit,165.27488660812378,pstree,1,0
fit,134.84166598320007,pstree,2,0
fit,135.0648968219757,pstree,3,0
fit,134.32875275611877,pstree,5,0
fit,135.12676787376404,pstree,8,0
fit,134.95913815498352,pstree,13,0
fit,135.30310559272766,pstree,21,0
fit,134.8278510570526,pstree,34,0
fit,135.03986740112305,pstree,55,0
fit,135.53547477722168,pstree,89,0
fit,329.42955327033997,rils_rols,1,0
fit,326.93622636795044,rils_rols,2,0
fit,329.13438868522644,rils_rols,3,0
fit,358.9494819641113,rils_rols,5,0
fit,332.8944082260132,rils_rols,8,0
fit,397.939067363739,rils_rols,13,0
fit,310.21213483810425,rils_rols,21,0
fit,365.98846554756165,rils_rols,34,0
fit,357.2167098522186,rils_rols,55,0
fit,448.7161455154419,rils_rols,89,0
