phase,duration_s,method,seed,split
fit,77.18520308,lgo,1,0
fit,107.485446,lgo,1,0
fit,69.89908791,lgo,1,0
fit,103.6677177,pysr,1,0
fit,9.808361292,operon,1,0
fit,56.53408861,lgo,2,0
fit,89.73332548,lgo,2,0
fit,94.40148354,lgo,2,0
fit,92.27511048,pysr,2,0
fit,10.0420289,operon,2,0
fit,69.70034719,lgo,3,0
fit,88.33235478,lgo,3,0
fit,82.95386767,lgo,3,0
fit,101.3920116,pysr,3,0
fit,11.52834606,operon,3,0
fit,71.4788537,lgo,5,0
fit,98.41254258,lgo,5,0
fit,81.43003511,lgo,5,0
fit,85.84164882,pysr,5,0
fit,12.22199035,operon,5,0
fit,77.69490075,lgo,8,0
fit,129.9619367,lgo,8,0
fit,79.02236032,lgo,8,0
fit,98.29804921,pysr,8,0
fit,10.57928014,operon,8,0
fit,61.97979808,lgo,13,0
fit,87.54306269,lgo,13,0
fit,104.8750904,lgo,13,0
fit,107.3428407,pysr,13,0
fit,10.2661798,operon,13,0
fit,72.3795495,lgo,21,0
fit,92.17031026,lgo,21,0
fit,73.6964674,lgo,21,0
fit,103.7243817,pysr,21,0
fit,10.97938323,operon,21,0
fit,67.15458059,lgo,34,0
fit,98.89404225,lgo,34,0
fit,80.94242764,lgo,34,0
fit,103.4924276,pysr,34,0
fit,10.24460077,operon,34,0
fit,69.74532652,lgo,55,0
fit,96.47892213,lgo,55,0
fit,81.75047231,lgo,55,0
fit,91.69800019,pysr,55,0
fit,10.66731501,operon,55,0
fit,70.73285341,lgo,89,0
fit,140.1695602,lgo,89,0
fit,81.71183634,lgo,89,0
fit,99.66165519,pysr,89,0
fit,10.46694541,operon,89,0
fit,158.8798449,pstree,1,0
fit,153.771493,pstree,2,0
fit,172.079263,pstree,3,0
fit,141.6127801,pstree,5,0
fit,143.0076182,pstree,8,0
fit,149.9953597,pstree,13,0
fit,147.7452805,pstree,21,0
fit,134.0929899,pstree,34,0
fit,141.7594774,pstree,55,0
fit,142.3367128,pstree,89,0fit,309.3661398887634,rils_rols,1,0
fit,293.65346598625183,rils_rols,2,0
fit,302.515109539032,rils_rols,3,0
fit,323.2004919052124,rils_rols,5,0
fit,300.54770493507385,rils_rols,8,0
fit,290.33485221862793,rils_rols,13,0
fit,290.3803210258484,rils_rols,21,0
fit,299.71834659576416,rils_rols,34,0
fit,296.56112790107727,rils_rols,55,0
fit,292.4989733695984,rils_rols,89,0
