pst_max_depth,pst_max_leaf_nodes,pst_min_samples_leaf,pst_pop_size,pst_ngen,gate_expr_enable,pop_size,ngen,max_fit_calls,max_time,max_complexity,sample_size,complexity_penalty,verbose
10.0,32.0,20.0,600.0,80.0,,,,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,,,,,,
,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,
,,,,,True,800.0,100.0,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,,,,,,
,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,True,800.0,100.0,,,,,,
,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
10.0,32.0,20.0,600.0,80.0,,,,,,,,,
,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,,,,,,
