dataset,method,experiment,seed,expr_id,complexity,loss,expression
UCI_Heart_Cleveland_num,lgo,base,34,52,29,0.6137969258532993,"sqrt(add(add(add(id(cp), id(ca)), sqrt(add(id(ca), add(id(restecg), add(id(thal), add(id(idF(exang)), add(id(thal), 1.0170749843258582))))))), id(idF(oldpeak))))"
UCI_Heart_Cleveland_num,lgo,base,5,62,44,0.5244786122231863,"sqrt(add(add(id(idF(ca)), id(idF(idF(oldpeak)))), add(sqrt(add(add(id(idF(restecg)), id(exang)), add(add(add(id(idF(ca)), id(thal)), add(add(id(thal), add(-0.6280214780104315, 1.3122529437008779)), id(idF(slope)))), id(idF(idF(ca)))))), id(idF(cp)))))"
UCI_Heart_Cleveland_num,lgo,lgo_hard,2,122,28,0.6298086667059337,"sqrt(add(add(sqrt(sqrt(sqrt(log(id(idF(exang)))))), id(oldpeak)), add(add(sqrt(add(id(idF(idF(idF(thal)))), id(idF(slope)))), id(ca)), id(cp))))"
UCI_Heart_Cleveland_num,lgo,lgo_hard,89,198,30,0.594318409222395,"sqrt(add(add(add(add(sqrt(add(sqrt(id(exang)), sqrt(add(id(restecg), add(one, zero))))), id(idF(idF(thal)))), id(cp)), id(idF(oldpeak))), mul(1.4104919513982543, id(ca))))"
UCI_Heart_Cleveland_num,lgo,lgo_hard,5,169,52,0.4924233912760606,"sqrt(add(add(add(add(sqrt(add(add(zero, id(idF(ca))), id(exang))), add(sqrt(add(id(slope), id(cp))), id(idF(thal)))), div(sqrt(pow(id(sex), add(add(id(thal), id(oldpeak)), add(id(oldpeak), id(thal))))), pow(id(cp), sqrt(log(id(idF(ca))))))), id(oldpeak)), id(ca)))"
UCI_Heart_Cleveland_num,lgo,lgo_soft,34,250,48,0.5230961595383322,"sqrt(add(add(id(idF(ca)), sqrt(add(id(oldpeak), sub(lgo_or2(log(id(cp)), lgo(id(fbs), 5.689788847302561, as_thr(div(zero, one))), 21.033211449441012, as_thr(pow(zero, one))), id(idF(idF(thalach))))))), add(id(cp), lgo(add(id(oldpeak), id(idF(idF(idF(idF(thal)))))), 1.588992443293574, as_thr(-0.6905786873310924)))))"
UCI_Heart_Cleveland_num,operon,base,8,608,25,0.6327354679761406,((-1.121282) + ((-0.166009) * ((((-1.213076) * ca) + ((-0.872396) * thal)) + (((0.300595 * slope) - (0.830373 - (0.726453 * oldpeak))) - (((((0.434294 * restecg) + ((0.300595 * slope) * (2.302585 * cp))) - ((-1.565594) * exang)) + ((1.772454 * oldpeak) + (1.306583 * sex))) - ((-1.213076) * ca))))))
UCI_Heart_Cleveland_num,operon,base,21,603,27,0.6015981646248109,((-0.596699) + ((-0.104599) * (((((-0.547276) * oldpeak) - (((-0.724953) * restecg) * ((-1.213076) * ca))) + (((-0.724953) * slope) * ((-0.636762) * cp))) + ((((((-0.547276) * oldpeak) - (((-0.724953) * thal) * ((-0.636762) * cp))) + (((-1.213076) * sex) - 2.718282)) + (((-1.213076) * ca) * 1.817579)) * sqrt((0.926812 * slope))))))
UCI_Heart_Cleveland_num,operon,base,5,606,31,0.5815112104828069,((-0.843423) + (0.137516 * (((1.731044 * oldpeak) + (((sqrt(sqrt((1.868322 * ca))) + (0.514023 * cp)) + (1.217157 * exang)) * (1.057127 * slope))) - (((-0.477065) * restecg) + ((((-0.951944) * thal) + (((-1.213076) * ca) * 1.578809)) + ((1.057127 * slope) - (((((-0.951944) * thal) + ((-1.213076) * ca)) / ((-0.082960) * thalach)) + (0.514023 * cp))))))))
UCI_Heart_Cleveland_num,pysr,base,89,738,3,0.5856029073063976,(ca + oldpeak)*0.4982564
